Joueur,1stIn,1stWon,2ndWon,SvGms,ace,bpFaced,bpSaved,df,ht,minutes,rank,rank_points,surface_winrate,Toutes,surface_winrate_lastear,svpt,total_games,age,player_url,residence,birthplace,birthdate,turned_pro,weight_kg,backhand,winner,vic_tournoi_A,vic_tournoi_F,vic_tournoi_G,vic_tournoi_M,vic_tournoi_carpet,vic_tournoi_clay,vic_tournoi_grass,vic_tournoi_hard,hand,country,Clay,Grass,Hard
Adrian Mannarino,47,32,16,12,5,7,4,3,183,106,56,1007,0.4307184482184482,0.4335156416528439,0.4456505813027552,78,25,34.6,http://www.atpworldtour.com/en/players/adrian-mannarino/me82/overview,"Valletta, Malta","Soisy-sous-Montmorency, France",1988-06-29,2004.0,70.0,Two-Handed Backhand,Adrian Mannarino,2.0,,,,,,1.0,1.0,L,FRA,0.2653061224489796,0.5657894736842105,0.4301470588235294
Agustin Calleri,47,32,17,12,7,7,4,4,183,106,53,745,0.4507331885059741,0.4980562200956938,0.3080143540669857,79,25,32.7,http://www.atpworldtour.com/en/players/agustin-calleri/c478/overview,"Buenos Aires, Argentina","Rio Cuarto, Argentina",1976-09-14,1995.0,86.0,One-Handed Backhand,Agustin Calleri,2.0,,,,,2.0,,,R,ARG,0.5454545454545454,0.25,0.5
Albert Montanes,52,35,15,13,4,7,4,3,175,107,69,694,0.4661351139041634,0.4748037972052729,0.2130597014925373,83,26,36.4,http://www.atpworldtour.com/en/players/albert-montanes/m824/overview,"Barcelona, Spain",Sant Carles de la Rapita,1980-11-26,1999.0,70.0,One-Handed Backhand,Albert Montanes,5.0,,,,,5.0,,,R,ESP,0.5085470085470085,0.3,0.2808988764044944
Albert Ramos,47,31,15,12,3,7,4,2,188,114,55,1021,0.4336668517898752,0.4370322251976165,0.3964748258656486,75,24,35.0,,,,,,,,Albert Ramos,2.0,,,,,2.0,,,L,ESP,0.4915254237288136,0.3333333333333333,0.3703703703703702
Alberto Martin,40,26,15,11,2,8,5,3,175,92,67,654,0.3383696939522181,0.3699167822468793,0.3425272138864371,69,22,31.7,http://www.atpworldtour.com/en/players/alberto-martin/m590/overview,"Barcelona, Spain","Barcelona, Spain",1978-08-20,1995.0,73.0,One-Handed Backhand,,,,,,,,,,R,ESP,0.4285714285714285,0.0,0.24
Alejandro Davidovich Fokina,46,31,10,11,2,6,2,2,183,99,53,1138,0.4617241598373673,0.3142033542976939,0.4896790840187066,68,23,23.6,,,,,,,,,,,,,,,,,R,ESP,0.3333333333333333,0.0,0.4375
Alejandro Falla,40,25,14,11,3,9,5,2,185,91,126,488,0.3233280665945308,0.3413841633793557,0.1197916666666666,69,22,32.2,http://www.atpworldtour.com/en/players/alejandro-falla/f444/overview,"Medellin, Colombia","Cali, Colombia",1983-11-14,2000.0,77.0,Two-Handed Backhand,,,,,,,,,,L,COL,0.325,0.3076923076923077,0.3611111111111111
Alex Bogomolov Jr,45,36,10,11,5,5,3,2,178,94,69,798,0.3916851846214727,0.4405701754385965,0.3787925696594427,67,23,30.9,,,,,,,,,,,,,,,,,R,RUS,0.0,0.5555555555555556,0.45
Alex De Minaur,48,34,17,13,3,6,3,2,183,123,34,1594,0.5649849064330963,0.5143834828617437,0.5880011564404839,80,26,23.9,,,,,,,,Alex De Minaur,4.0,,,,,,1.0,3.0,R,AUS,0.0,0.4,0.6434782608695652
Alexander Bublik,48,36,15,13,13,7,4,6,196,103,57,1099,0.4292593580642133,0.4426073713902053,0.3812525010004001,81,26,25.6,http://www.atpworldtour.com/en/players/alexander-bublik/bk92/overview,"Gatchina, Russia","Gatchina, Russia",1997-06-17,2014.0,76.0,Two-Handed Backhand,Alexander Bublik,1.0,,,,,,,1.0,R,KAZ,0.4444444444444444,0.5,0.4339622641509434
