crosscourt;down_middle;down_the_line;inside_out;inside_in;date;tournoi;categorie;type_surface;joueur;row
95;70;38;36;7;27/01/1991;australian open;F;Hard;Ivan Lendl;Total
34;30;16;28;7;27/01/1991;australian open;F;Hard;Ivan Lendl;F
34;28;15;5;0;27/01/1991;australian open;F;Hard;Ivan Lendl;B
27;12;7;3;0;27/01/1991;australian open;F;Hard;Ivan Lendl;S
105;56;46;31;1;27/01/1991;australian open;F;Hard;Boris Becker;Total
45;31;16;25;1;27/01/1991;australian open;F;Hard;Boris Becker;F
24;13;14;5;0;27/01/1991;australian open;F;Hard;Boris Becker;B
36;12;16;1;0;27/01/1991;australian open;F;Hard;Boris Becker;S
45;44;17;22;6;08/09/1991;us open;F;Hard;Jim Courier;Total
24;27;5;15;6;08/09/1991;us open;F;Hard;Jim Courier;F
16;12;6;5;0;08/09/1991;us open;F;Hard;Jim Courier;B
5;5;6;2;0;08/09/1991;us open;F;Hard;Jim Courier;S
34;26;11;8;0;08/09/1991;us open;F;Hard;Stefan Edberg;Total
16;13;6;6;0;08/09/1991;us open;F;Hard;Stefan Edberg;F
4;7;1;0;0;08/09/1991;us open;F;Hard;Stefan Edberg;B
14;6;4;2;0;08/09/1991;us open;F;Hard;Stefan Edberg;S
79;48;32;37;6;26/01/1992;australian open;F;Hard;Jim Courier;Total
36;22;11;35;6;26/01/1992;australian open;F;Hard;Jim Courier;F
33;26;16;1;0;26/01/1992;australian open;F;Hard;Jim Courier;B
10;0;5;1;0;26/01/1992;australian open;F;Hard;Jim Courier;S
82;22;23;7;0;26/01/1992;australian open;F;Hard;Stefan Edberg;Total
23;7;12;2;0;26/01/1992;australian open;F;Hard;Stefan Edberg;F
41;8;7;3;0;26/01/1992;australian open;F;Hard;Stefan Edberg;B
18;7;4;2;0;26/01/1992;australian open;F;Hard;Stefan Edberg;S
16;15;9;5;0;04/07/1992;wimbledon;SF;Grass;John Mcenroe;Total
9;6;1;2;0;04/07/1992;wimbledon;SF;Grass;John Mcenroe;F
1;5;2;1;0;04/07/1992;wimbledon;SF;Grass;John Mcenroe;B
