Joueur,1stIn,1stWon,2ndWon,SvGms,ace,bpFaced,bpSaved,df,ht,minutes,rank,rank_points,surface_winrate,surface_winrate_2y_ago,surface_winrate_lastear,svpt,total_games,age,player_url,residence,birthplace,birthdate,turned_pro,weight_kg,backhand,winner,vic_tournoi_A,vic_tournoi_F,vic_tournoi_G,vic_tournoi_M,vic_tournoi_carpet,vic_tournoi_clay,vic_tournoi_grass,vic_tournoi_hard,hand,country
Adrian Mannarino,47,32,16,12,5,7,4,3,183,106,56,1007,0.4307184482184482,0.4335156416528439,0.4456505813027552,78,25,34.6,http://www.atpworldtour.com/en/players/adrian-mannarino/me82/overview,"Valletta, Malta","Soisy-sous-Montmorency, France",1988-06-29,2004.0,70.0,Two-Handed Backhand,Adrian Mannarino,2.0,,,,,,1.0,1.0,L,FRA
Agustin Calleri,47,32,17,12,7,7,4,4,183,106,53,745,0.45073318850597416,0.4980562200956938,0.3080143540669857,79,25,32.7,http://www.atpworldtour.com/en/players/agustin-calleri/c478/overview,"Buenos Aires, Argentina","Rio Cuarto, Argentina",1976-09-14,1995.0,86.0,One-Handed Backhand,Agustin Calleri,2.0,,,,,2.0,,,R,ARG
Albert Montanes,52,35,15,13,4,7,4,3,175,107,69,694,0.4661351139041634,0.47480379720527294,0.2130597014925373,83,26,36.4,http://www.atpworldtour.com/en/players/albert-montanes/m824/overview,"Barcelona, Spain",Sant Carles de la Rapita,1980-11-26,1999.0,70.0,One-Handed Backhand,Albert Montanes,5.0,,,,,5.0,,,R,ESP
Albert Ramos,47,31,15,12,3,7,4,2,188,114,55,1021,0.43366685178987524,0.4370322251976165,0.39647482586564864,75,24,35.0,,,,,,,,Albert Ramos,2.0,,,,,2.0,,,L,ESP
Alberto Martin,40,26,15,11,2,8,5,3,175,92,67,654,0.33836969395221816,0.3699167822468793,0.34252721388643714,69,22,31.7,http://www.atpworldtour.com/en/players/alberto-martin/m590/overview,"Barcelona, Spain","Barcelona, Spain",1978-08-20,1995.0,73.0,One-Handed Backhand,,,,,,,,,,R,ESP
Alejandro Davidovich Fokina,46,31,10,11,2,6,2,2,183,99,53,1138,0.46172415983736737,0.3142033542976939,0.48967908401870663,68,23,23.6,,,,,,,,,,,,,,,,,R,ESP
Alejandro Falla,40,25,14,11,3,9,5,2,185,91,126,488,0.32332806659453084,0.3413841633793557,0.11979166666666663,69,22,32.2,http://www.atpworldtour.com/en/players/alejandro-falla/f444/overview,"Medellin, Colombia","Cali, Colombia",1983-11-14,2000.0,77.0,Two-Handed Backhand,,,,,,,,,,L,COL
Alex Bogomolov Jr,45,36,10,11,5,5,3,2,178,94,69,798,0.3916851846214727,0.4405701754385965,0.37879256965944275,67,23,30.9,,,,,,,,,,,,,,,,,R,RUS
Alex De Minaur,48,34,17,13,3,6,3,2,183,123,34,1594,0.5649849064330963,0.5143834828617437,0.5880011564404839,80,26,23.9,,,,,,,,Alex De Minaur,4.0,,,,,,1.0,3.0,R,AUS
Alexander Bublik,48,36,15,13,13,7,4,6,196,103,57,1099,0.42925935806421334,0.4426073713902053,0.38125250100040015,81,26,25.6,http://www.atpworldtour.com/en/players/alexander-bublik/bk92/overview,"Gatchina, Russia","Gatchina, Russia",1997-06-17,2014.0,76.0,Two-Handed Backhand,Alexander Bublik,1.0,,,,,,,1.0,R,KAZ
Alexander Zverev,50,38,13,13,9,6,4,4,198,110,20,4542,0.6698469961184823,0.6481809508713898,0.5528364750739407,77,26,25.7,http://www.atpworldtour.com/en/players/alexander-zverev/z355/overview,"Monte Carlo, Monaco","Hamburg, Germany",1997-04-20,2013.0,86.0,Two-Handed Backhand,Alexander Zverev,12.0,2.0,,5.0,,6.0,,13.0,R,GER
Alexandr Dolgopolov,45,33,19,13,8,6,4,2,180,101,36,1338,0.49862316323035144,0.4964372071108314,0.4931485181485181,81,26,29.5,http://www.atpworldtour.com/en/players/alexandr-dolgopolov/d801/overview,"Monte Carlo, Monaco","Kiev, Ukraine",1988-11-07,2006.0,71.0,Two-Handed Backhand,Alexandr Dolgopolov,3.0,,,,,2.0,,1.0,R,UKR
Alexei Popyrin,45,32,14,12,8,7,4,4,196,97,115,615,0.37930170397594387,0.3125,0.27439024390243905,74,24,23.4,,,,,,,,Alexei Popyrin,1.0,,,,,,,1.0,R,AUS
Aljaz Bedene,48,35,18,14,9,6,3,3,181,120,77,768,0.3942877837138331,0.41196987159785536,0.16754772393538914,84,28,33.0,http://www.atpworldtour.com/en/players/aljaz-bedene/bh09/overview,"London, Great Britain","Ljubljana, Slovenia",1989-07-18,2008.0,72.0,Two-Handed Backhand,,,,,,,,,,R,SLO
Andreas Beck,52,35,18,13,5,8,5,5,190,116,95,718,0.3120530012771392,0.34919299931915576,0.0,87,27,28.9,http://www.atpworldtour.com/en/players/andreas-beck/ba86/overview,"Stuttgart, Germany","Weingarten, Germany",1986-02-05,2003.0,89.0,Two-Handed Backhand,,,,,,,,,,L,GER
Andreas Haider Maurer,44,31,16,12,6,8,5,5,190,104,175,497,0.2922660346189757,0.32816192816192813,0.0,81,26,31.1,,,,,,,,,,,,,,,,,R,AUT
Andreas Seppi,47,33,17,12,5,8,5,3,190,107,55,950,0.45538381168623654,0.4584722877208885,0.3802307917031843,81,25,37.9,http://www.atpworldtour.com/en/players/andreas-seppi/sa93/overview,"Caldaro, Italy","Bolzano, Italy",1984-02-21,2002.0,75.0,Two-Handed Backhand,Andreas Seppi,2.0,,,,,1.0,,1.0,R,ITA
Andrei Pavel,51,35,11,11,6,9,6,2,183,95,92,598,0.2939793785852899,0.33946140439646927,0.02922077922077922,78,24,35.6,http://www.atpworldtour.com/en/players/andrei-pavel/p280/overview,USA,"Constanta, Romania",1974-01-27,1995.0,90.0,,,,,,,,,,,R,ROU
Andrey Golubev,47,32,17,12,4,7,4,4,185,106,98,637,0.27705417212128186,0.2857889237199582,0.19379310344827588,80,30,28.1,http://www.atpworldtour.com/en/players/andrey-golubev/g806/overview,"Astana, Kazakhstan","Volzhskij, Russia",1987-07-22,2005.0,79.0,One-Handed Backhand,Andrey Golubev,1.0,,,,,1.0,,,R,KAZ
Andrey Kuznetsov,51,36,17,13,7,7,4,3,185,106,88,670,0.38957299104258625,0.3918133972481799,0.23067632850241546,85,26,31.2,http://www.atpworldtour.com/en/players/andrey-kuznetsov/kb54/overview,"Balashikha, Russia","Tula, Russia",1991-02-22,2008.0,71.0,Two-Handed Backhand,,,,,,,,,,R,RUS
Andrey Rublev,51,37,15,13,6,7,4,3,188,107,44,2381,0.6180937157471684,0.5521856771382387,0.6975392934951758,81,26,25.2,http://www.atpworldtour.com/en/players/andrey-rublev/re44/overview,"Moscow, Russia","Moscow, Russia",1997-10-20,2014.0,68.0,Two-Handed Backhand,Andrey Rublev,13.0,,,,,3.0,,10.0,R,RUS
Andy Murray,45,33,17,12,7,6,4,3,190,114,31,5360,0.7392822656133287,0.7585901758819249,0.4489879493464052,77,25,35.6,http://www.atpworldtour.com/en/players/andy-murray/mc10/overview,"London, England","Glasgow, Scotland",1987-05-15,2005.0,84.0,Two-Handed Backhand,Andy Murray,28.0,1.0,3.0,13.0,1.0,3.0,8.0,33.0,R,GBR
Andy Roddick,50,39,12,12,12,4,3,2,188,101,9,2799,0.7151744146914252,0.7435428421282023,0.6092427760577914,74,26,29.9,http://www.atpworldtour.com/en/players/andy-roddick/r485/overview,"Austin, Texas, USA","Omaha, Nebraska, USA",1982-08-30,2000.0,88.0,Two-Handed Backhand,Andy Roddick,14.0,,,2.0,1.0,1.0,3.0,11.0,R,USA
Arnaud Clement,46,32,19,12,5,8,5,3,173,115,79,651,0.4185092030087848,0.4305579934858502,0.3843952957697033,82,25,34.4,http://www.atpworldtour.com/en/players/arnaud-clement/c487/overview,"Aix-en-Provence, France","Aix-en-Provence, France",1977-12-17,1996.0,74.0,Two-Handed Backhand,Arnaud Clement,2.0,,,,,,,2.0,R,FRA
Aslan Karatsev,49,35,18,13,5,8,5,4,185,126,54,1500,0.49096385542168675,0.17520080321285142,0.28774341061725894,84,26,29.4,http://www.atpworldtour.com/en/players/aslan-karatsev/kc56/overview,,,1993-09-04,,,Two-Handed Backhand,Aslan Karatsev,3.0,,,,,,,3.0,R,RUS
Benjamin Becker,44,32,17,12,8,6,4,3,178,99,77,697,0.3673721596690347,0.37079440192716195,0.13573109567901234,77,25,35.6,http://www.atpworldtour.com/en/players/benjamin-becker/b896/overview,"Dallas, TX, USA","Merzig, Germany",1981-06-16,2005.0,72.0,Two-Handed Backhand,,,,,,,,,,R,GER
Benoit Paire,46,32,19,13,8,9,5,5,196,104,52,1076,0.4372219568965783,0.4641848549122515,0.17599465415456797,85,26,33.3,http://www.atpworldtour.com/en/players/benoit-paire/pd31/overview,"Geneva, Switzerland","Avignon, France",1989-05-08,2007.0,80.0,Two-Handed Backhand,Benoit Paire,3.0,,,,,3.0,,,R,FRA
Bernard Tomic,54,39,14,13,8,7,5,2,193,101,71,974,0.45816181980039006,0.4669416675678023,0.4133674688513398,86,27,28.3,http://www.atpworldtour.com/en/players/bernard-tomic/ta46/overview,"Monte Carlo, Monaco","Stuttgart, Germany",1992-10-21,2008.0,91.0,Two-Handed Backhand,Bernard Tomic,4.0,,,,,,,4.0,R,AUS
Bjorn Phau,40,27,17,11,4,7,4,4,175,94,99,535,0.22964146518694672,0.2209051724137931,0.3658547710271848,74,23,34.3,http://www.atpworldtour.com/en/players/bjorn-phau/p436/overview,"Cologne, Germany","Darmstadt, Germany",1979-10-04,1999.0,70.0,One-Handed Backhand,,,,,,,,,,R,GER
Blaz Kavcic,58,39,16,14,5,9,5,4,188,122,102,547,0.3117567052134422,0.32057588911065016,0.11471225247524752,91,29,31.3,http://www.atpworldtour.com/en/players/blaz-kavcic/k834/overview,"Dubai, U.A.E.","Ljubljana, Slovenia",1987-03-05,2005.0,78.0,Two-Handed Backhand,,,,,,,,,,R,SLO
Borna Coric,50,36,16,13,6,6,4,2,188,117,59,1192,0.5178533741146569,0.4890022754927335,0.5459368591934382,82,26,26.2,http://www.atpworldtour.com/en/players/borna-coric/cg80/overview,"Dubai, United Arab Emirates","Zagreb, Croatia",1996-11-14,2013.0,79.0,Two-Handed Backhand,Borna Coric,2.0,,,1.0,,1.0,1.0,1.0,R,CRO
Cameron Norrie,51,36,14,12,5,7,5,3,188,114,48,1666,0.5195406442097196,0.44009963587271705,0.5893766908783593,80,25,27.3,http://www.atpworldtour.com/en/players/cameron-norrie/n771/overview,"Fort Worth, TX, USA","Johannesburg, South Africa",1995-08-23,2017.0,80.0,Two-Handed Backhand,Cameron Norrie,1.0,,,1.0,,,,2.0,L,GBR
Carlos Alcaraz,56,39,16,13,3,7,4,2,185,128,51,2556,0.7169078947368421,0.4605263157894737,0.7986319707457228,86,27,19.4,,,,,,,,Carlos Alcaraz,4.0,,1.0,2.0,,4.0,,3.0,R,ESP
Carlos Berlocq,48,33,13,12,3,8,5,3,183,115,68,740,0.373647395331071,0.3951941451941452,0.020866454689984104,77,24,36.0,http://www.atpworldtour.com/en/players/carlos-berlocq/b884/overview,"Buenos Aires, Argentina","Chascomus, Argentina",1983-02-03,2001.0,81.0,One-Handed Backhand,Carlos Berlocq,2.0,,,,,2.0,,,R,ARG
Carlos Moya,52,37,18,13,6,8,5,3,190,112,52,1113,0.5387068320151027,0.5547675986519575,0.24924242424242424,87,27,33.5,http://www.atpworldtour.com/en/players/carlos-moya/m605/overview,"Geneva, Switzerland","Palma de Mallorca, Spain",1976-08-27,1995.0,86.0,Two-Handed Backhand,Carlos Moya,3.0,,,,,2.0,,1.0,R,ESP
Casper Ruud,49,35,15,12,5,6,3,2,183,109,42,2563,0.5917844915744075,0.3868448825169255,0.6839351851851851,76,25,24.0,http://www.atpworldtour.com/en/players/casper-ruud/rh16/overview,"Oslo, Norway","Oslo, Norway",1998-12-22,2015.0,77.0,Two-Handed Backhand,Casper Ruud,6.0,,,,,5.0,,1.0,R,NOR
Chris Guccione,48,39,16,13,14,5,4,3,201,93,141,384,0.34114205004035514,0.3452380952380952,0.24642857142857144,81,27,28.8,http://www.atpworldtour.com/en/players/chris-guccione/g621/overview,"New York, NY, USA","Melbourne, Australia",1985-07-30,2003.0,92.0,One-Handed Backhand,,,,,,,,,,L,AUS
Christophe Rochus,45,30,13,11,2,8,4,3,170,92,79,689,0.2853459164245773,0.2966372493567563,0.15932629462041226,74,23,31.5,http://www.atpworldtour.com/en/players/christophe-rochus/r336/overview,"Auvelais, Belgium","Namur, Belgium",1978-12-15,1996.0,68.0,One-Handed Backhand,,,,,,,,,,R,BEL
Corentin Moutet,55,36,13,13,2,9,5,3,178,125,90,719,0.43986752846537125,0.36640986132511555,0.438828967642527,84,27,23.5,http://www.atpworldtour.com/en/players/corentin-moutet/mw02/overview,,"Neuilly, France",1999-04-19,,65.0,Two-Handed Backhand,,,,,,,,,,L,FRA
Cristian Garin,54,36,17,13,4,9,5,4,185,122,69,1333,0.4347685185185185,0.4261451318742986,0.46664292497625826,88,27,26.6,,,,,,,,Cristian Garin,4.0,,,,,4.0,,,R,CHI
Damir Dzumhur,50,33,14,13,3,9,5,3,172,104,78,829,0.4074179013457374,0.4119163228797781,0.07915921288014312,80,26,30.6,http://www.atpworldtour.com/en/players/damir-dzumhur/d923/overview,"Sarajevo, Bosnia-Herzegovina","Sarajevo, Bosnia-Herzegovina",1992-05-20,2011.0,70.0,Two-Handed Backhand,Damir Dzumhur,3.0,,,,,,1.0,2.0,R,BIH
Daniel Brands,53,39,15,13,9,6,4,3,196,103,110,578,0.35740715205000917,0.3613814756671899,0.32589285714285715,83,27,31.5,http://www.atpworldtour.com/en/players/daniel-brands/bc72/overview,"Bogen, Germany","Deggendorf, Germany",1987-07-17,2005.0,92.0,One-Handed Backhand,,,,,,,,,,R,GER
Daniel Evans,54,38,17,13,5,8,5,3,175,127,70,1222,0.469907068458146,0.4504161176497535,0.4472160859960689,88,28,32.6,http://www.atpworldtour.com/en/players/daniel-evans/e687/overview,"Birmingham, England","Birmingham, England",1990-05-23,2006.0,75.0,One-Handed Backhand,Daniel Evans,1.0,,,,,,,1.0,R,GBR
Daniel Gimeno Traver,47,32,16,12,4,8,5,3,185,104,85,669,0.32846266381078587,0.3369326799053167,0.03277264471294321,80,25,32.7,,,,,,,,,,,,,,,,,R,ESP
Daniil Medvedev,46,34,15,12,8,5,3,3,198,105,26,4829,0.6817304355927404,0.6477468865243939,0.6730665245361793,75,25,26.9,http://www.atpworldtour.com/en/players/daniil-medvedev/mm58/overview,"Monte Carlo, Monaco","Moscow, Russia",1996-02-11,2014.0,81.0,Two-Handed Backhand,Daniil Medvedev,10.0,1.0,1.0,4.0,,,1.0,15.0,R,RUS
