Joueur,1stIn,1stWon,2ndWon,SvGms,ace,bpFaced,bpSaved,df,ht,minutes,rank,rank_points,surface_winrate,surface_winrate_2y_ago,surface_winrate_lastear,svpt,total_games
Adrian Mannarino,47,32,16,12,5,7,4,3,183,106,56,1007,0.4307184482184482,0.4335156416528439,0.4456505813027552,78,25
Agustin Calleri,47,32,17,12,7,7,4,4,183,106,53,745,0.45073318850597416,0.4980562200956938,0.3080143540669857,79,25
Albert Montanes,52,35,15,13,4,7,4,3,175,107,69,694,0.4661351139041634,0.47480379720527294,0.2130597014925373,83,26
Albert Ramos,47,31,15,12,3,7,4,2,188,114,55,1021,0.43366685178987524,0.4370322251976165,0.39647482586564864,75,24
Alberto Martin,40,26,15,11,2,8,5,3,175,92,67,654,0.33836969395221816,0.3699167822468793,0.34252721388643714,69,22
Alejandro Davidovich Fokina,46,31,10,11,2,6,2,2,183,99,53,1138,0.46172415983736737,0.3142033542976939,0.48967908401870663,68,23
Alejandro Falla,40,25,14,11,3,9,5,2,185,91,126,488,0.32332806659453084,0.3413841633793557,0.11979166666666663,69,22
Alex Bogomolov Jr,45,36,10,11,5,5,3,2,178,94,69,798,0.3916851846214727,0.4405701754385965,0.37879256965944275,67,23
Alex De Minaur,48,34,17,13,3,6,3,2,183,123,34,1594,0.5649849064330963,0.5143834828617437,0.5880011564404839,80,26
Alexander Bublik,48,36,15,13,13,7,4,6,196,103,57,1099,0.42925935806421334,0.4426073713902053,0.38125250100040015,81,26
Alexander Zverev,50,38,13,13,9,6,4,4,198,110,20,4542,0.6698469961184823,0.6481809508713898,0.5528364750739407,77,26
Alexandr Dolgopolov,45,33,19,13,8,6,4,2,180,101,36,1338,0.49862316323035144,0.4964372071108314,0.4931485181485181,81,26
Alexei Popyrin,45,32,14,12,8,7,4,4,196,97,115,615,0.37930170397594387,0.3125,0.27439024390243905,74,24
Aljaz Bedene,48,35,18,14,9,6,3,3,181,120,77,768,0.3942877837138331,0.41196987159785536,0.16754772393538914,84,28
Andreas Beck,52,35,18,13,5,8,5,5,190,116,95,718,0.3120530012771392,0.34919299931915576,0.0,87,27
Andreas Haider Maurer,44,31,16,12,6,8,5,5,190,104,175,497,0.2922660346189757,0.32816192816192813,0.0,81,26
Andreas Seppi,47,33,17,12,5,8,5,3,190,107,55,950,0.45538381168623654,0.4584722877208885,0.3802307917031843,81,25
Andrei Pavel,51,35,11,11,6,9,6,2,183,95,92,598,0.2939793785852899,0.33946140439646927,0.02922077922077922,78,24
Andrey Golubev,47,32,17,12,4,7,4,4,185,106,98,637,0.27705417212128186,0.2857889237199582,0.19379310344827588,80,30
Andrey Kuznetsov,51,36,17,13,7,7,4,3,185,106,88,670,0.38957299104258625,0.3918133972481799,0.23067632850241546,85,26
Andrey Rublev,51,37,15,13,6,7,4,3,188,107,44,2381,0.6180937157471684,0.5521856771382387,0.6975392934951758,81,26
Andy Murray,45,33,17,12,7,6,4,3,190,114,31,5360,0.7392822656133287,0.7585901758819249,0.4489879493464052,77,25
Andy Roddick,50,39,12,12,12,4,3,2,188,101,9,2799,0.7151744146914252,0.7435428421282023,0.6092427760577914,74,26
Arnaud Clement,46,32,19,12,5,8,5,3,173,115,79,651,0.4185092030087848,0.4305579934858502,0.3843952957697033,82,25
Aslan Karatsev,49,35,18,13,5,8,5,4,185,126,54,1500,0.49096385542168675,0.17520080321285142,0.28774341061725894,84,26
Benjamin Becker,44,32,17,12,8,6,4,3,178,99,77,697,0.3673721596690347,0.37079440192716195,0.13573109567901234,77,25
Benoit Paire,46,32,19,13,8,9,5,5,196,104,52,1076,0.4372219568965783,0.4641848549122515,0.17599465415456797,85,26
Bernard Tomic,54,39,14,13,8,7,5,2,193,101,71,974,0.45816181980039006,0.4669416675678023,0.4133674688513398,86,27
Bjorn Phau,40,27,17,11,4,7,4,4,175,94,99,535,0.22964146518694672,0.2209051724137931,0.3658547710271848,74,23
Blaz Kavcic,58,39,16,14,5,9,5,4,188,122,102,547,0.3117567052134422,0.32057588911065016,0.11471225247524752,91,29
Borna Coric,50,36,16,13,6,6,4,2,188,117,59,1192,0.5178533741146569,0.4890022754927335,0.5459368591934382,82,26
Cameron Norrie,51,36,14,12,5,7,5,3,188,114,48,1666,0.5195406442097196,0.44009963587271705,0.5893766908783593,80,25
Carlos Alcaraz,56,39,16,13,3,7,4,2,185,128,51,2556,0.7169078947368421,0.4605263157894737,0.7986319707457228,86,27
Carlos Berlocq,48,33,13,12,3,8,5,3,183,115,68,740,0.373647395331071,0.3951941451941452,0.020866454689984104,77,24
Carlos Moya,52,37,18,13,6,8,5,3,190,112,52,1113,0.5387068320151027,0.5547675986519575,0.24924242424242424,87,27
Casper Ruud,49,35,15,12,5,6,3,2,183,109,42,2563,0.5917844915744075,0.3868448825169255,0.6839351851851851,76,25
Chris Guccione,48,39,16,13,14,5,4,3,201,93,141,384,0.34114205004035514,0.3452380952380952,0.24642857142857144,81,27
Christophe Rochus,45,30,13,11,2,8,4,3,170,92,79,689,0.2853459164245773,0.2966372493567563,0.15932629462041226,74,23
Corentin Moutet,55,36,13,13,2,9,5,3,178,125,90,719,0.43986752846537125,0.36640986132511555,0.438828967642527,84,27
Cristian Garin,54,36,17,13,4,9,5,4,185,122,69,1333,0.4347685185185185,0.4261451318742986,0.46664292497625826,88,27
Damir Dzumhur,50,33,14,13,3,9,5,3,172,104,78,829,0.4074179013457374,0.4119163228797781,0.07915921288014312,80,26
Daniel Brands,53,39,15,13,9,6,4,3,196,103,110,578,0.35740715205000917,0.3613814756671899,0.32589285714285715,83,27
Daniel Evans,54,38,17,13,5,8,5,3,175,127,70,1222,0.469907068458146,0.4504161176497535,0.4472160859960689,88,28
Daniel Gimeno Traver,47,32,16,12,4,8,5,3,185,104,85,669,0.32846266381078587,0.3369326799053167,0.03277264471294321,80,25
Daniil Medvedev,46,34,15,12,8,5,3,3,198,105,26,4829,0.6817304355927404,0.6477468865243939,0.6730665245361793,75,25
David Ferrer,48,33,15,12,3,7,4,3,175,110,15,3326,0.6613202534563931,0.6733232229104953,0.4202087342188013,78,25
David Goffin,47,33,17,13,5,7,4,4,180,112,32,1908,0.5585833123224717,0.585565920532874,0.34735365045719735,80,26
David Nalbandian,47,33,16,12,4,7,4,3,180,110,31,1598,0.6337614903892395,0.6379593568001022,0.39250391980691646,79,25
Denis Istomin,54,39,15,13,7,7,5,2,188,110,67,790,0.4187694106624262,0.4268984644816217,0.20060359694506033,85,27
Denis Kudla,50,35,18,13,6,8,4,3,180,107,106,612,0.3382851564834552,0.3282890804086974,0.2517605633802817,86,27
Denis Shapovalov,51,38,18,13,8,7,5,5,185,118,35,1839,0.5374632329875296,0.5151096231056417,0.5891575459757277,85,27
Diego Schwartzman,49,32,15,12,2,8,4,3,170,114,30,1893,0.5152616937516258,0.5082699949962144,0.5363498409947502,79,25
Dmitry Tursunov,48,35,17,13,7,7,5,4,185,105,72,940,0.47437270319506347,0.48980609251171103,0.033920940170940175,82,26
Dominic Thiem,50,36,17,13,6,6,4,3,185,115,38,3336,0.6255566932320263,0.6421503925536236,0.4096166572796396,82,26
Dominik Hrbaty,44,30,16,12,4,8,4,4,183,101,63,1068,0.41543859649122805,0.37438887072754345,0.2689035087719298,76,26
Donald Young,48,32,16,13,3,9,5,4,183,102,101,669,0.37618127460913364,0.3701727570529677,0.0,81,25
